Category,Food Name,熱量(kcal),水分(g),粗蛋白(g),粗脂肪(g),飽和脂肪(g),灰分(g),總碳水化合物(g),膳食纖維(g),糖質總量(g),葡萄糖(g),果糖(g),半乳糖(g),麥芽糖(g),蔗糖(g),乳糖(g),鈉(mg),鉀(mg),鈣(mg),鎂(mg),鐵(mg),鋅(mg),磷(mg),銅(mg),視網醇當量(RE)(ug),β-胡蘿蔔素(ug),α-維生素E當量(α-TE)(mg),維生素B1(mg),維生素B2(mg),菸鹼素(mg),維生素B6(mg),維生素B12(ug),葉酸(ug),維生素C(mg),脂肪酸S總量(mg),脂肪酸M總量(mg),脂肪酸P總量(mg),亞麻油酸(18:2)(mg),次亞麻油酸(18:3)(mg),其他脂肪酸(mg),反式脂肪(mg),酥胺酸(Thr),胱胺酸(Cys),纈胺酸(Val),甲硫胺酸(Met),異白胺酸(Ile),白胺酸(Leu),酪胺酸(Tyr),苯丙胺酸(Phe),離胺酸(Lys),組胺酸(His),精胺酸(Arg),色胺酸(Trp),膽固醇(mg),酒精含量(g),醣類熱量%,脂肪熱量%,蛋白質熱量%,酒精熱量%
水果類,"百香果汁",72.9366,79.577,0.871,0.3592,,0.5807,18.6121,0.1898,,,,,,,,0.9742,238.5358,5.0454,16.4254,0.5933,0.5838,26.7497,,34.3077,205.8049,0.342,0.004,0.11,0.158,0.306,,,18.543,,,,,,,,,,,,,,,,,,,,,,91.86545294,4.122077271,4.012469785,
水果類,"金黃奇異果",58.9366,83.3445,0.8385,0.2661,0.0931,0.5809,14.97,1.42,10.6077,4.7284,5.4326,,0,0.4467,0,2.0379,251.6121,21.6913,11.2012,0.216,0.2485,22.8358,,6.6758,40.0465,2.2064,0.0165,0.0416,0.2816,0.2812,,,90.1,93.113712,119.923287,53.065662,44.896392,8.16927,0,,,,,,,,,,,,,,,,91.44060644,3.779071676,4.780321884,
水果類,"奇異果",56.2826,83.95,1.1497,0.2582,0.0525,0.6814,13.9607,2.7494,9.315,4.423,4.718,,0,0.174,0,2.9167,290.7544,27.6297,12.4225,0.2574,0.1991,30.1708,,10.9914,65.9353,1.3699,0.0077,0.0252,0.1789,0.1449,,30.494,72.9547,52.47915,63.264164,142.456686,35.319178,107.137508,0,,,,,,,,,,,,,,,,89.2966546,3.83978749,6.863557907,
水果類,"紅毛丹",73.2833,80.043,1.0315,0.657,,0.4023,17.8662,1.5051,,,,,,,,8.1841,151.8635,15.7514,13.6756,0.5236,0.3673,23.4418,,0.2501,1.5,0,0.013,0.04,0.3315,0.1095,,,32.9175,,,,,,,,,,,,,,,,,,,,,,87.76674069,7.503883903,4.729375403,
水果類,"紅龍果(白肉)",51.4985,85.6757,0.9307,0.4393,0.0491,0.5392,12.4151,1.6795,8.931,5.461,2.594,,0,0.876,0,0.0696,226.1907,4.4116,28.2835,0.447,0.4175,21.8778,0.0273,0.088,0.5277,0.2181,0.0197,0.0362,0.1299,0.047,,15.511,5.308,49.148884,69.6356395,100.8654765,98.548169,2.3173075,0,,30.662,21.848,34.376,16.952,28.993,55.455,35.035,42.364,44.666,27.24,106.003,0,,,86.78777205,7.139905737,6.072322211,
水果類,"紅龍果(紅肉)",50.05,85.842,1.119,0.2498,0.0679,0.5116,12.2776,1.2759,9.2187,5.7609,2.8028,,0,0.655,0,0.272,218.66,9.0255,23.7655,0.7875,0.538,27.5395,0.0582,0,0,0.2614,0.0305,0.0363,0.1102,0.02,,12.277,6.303,67.875656,96.682592,85.24425,81.949388,3.294862,0,,19.24,7.658,21.053,3.972,15.88,31.131,14.159,25.142,34.241,15.779,62.895,0,,,88.31036371,4.177472355,7.51216393,
水果類,"北蕉平均值",84.9833,75.7204,1.451,0.0722,0.039,0.672,22.0845,1.6184,18.014,9.24,8.774,,0,0,0,0.1778,367.5296,4.79,23.6236,0.389,0.4528,23.3732,0.018,0.3307,1.9838,0.2831,0.0541,0.0493,0.2364,0.4369,,15.717,10.6649,38.956954,16.509252,16.733794,8.812732,7.921062,0,,,,,,,,,,,,,,,,93.55210143,0.711092554,5.73680602,
水果類,"北蕉(2月取樣)",93.2203,73.448,1.324,0.0111,,0.5839,24.633,1.9614,,,,,,,,0.1743,356.9232,3.2604,17.9348,0.5407,0.7511,16.7153,,0,0,0.2665,0.049,0.04,0,0.438,,,10.5,,,,,,,,,,,,,,,,,,,,,,95.12815909,0.099663864,4.772177044,
水果類,"北蕉(5月取樣)",91.7847,73.8715,1.557,0.1666,0.0899,0.7497,23.6552,1.8313,18.014,9.24,8.774,,0,0,0,0.262,346.4541,3.2482,26.4334,0.1748,0.1241,25.9154,0.018,1.3228,7.935,0.2657,0.0515,0.058,0.1974,0.4,,20.974,6.7385,89.892362,38.094756,38.612882,20.335196,18.277686,0,,,,,,,,,,,,,,,,92.78097188,1.519253507,5.699774609,
水果類,"北蕉(9月取樣)",64.6971,81.375,1.33,0.039,,0.6166,16.6394,1.1818,,,,,,,,0.1469,303.7861,9.6721,23.45,0.2131,0.5953,19.9845,,0,0,0.2653,0.055,0.05,0.527,0.3926,,10.46,8.087,,,,,,,,,,,,,,,,,,,,,,92.58818058,0.504551443,6.90726798,
